appSeq,Unnamed: 0,deviceOs,name,crashrate
231,16,android,A3:Still Alive - Android,4.53
307,19,android,A3글로벌,14.47
14,37,android,Future Fight for Global (Android),3.67
105,44,ios,Iron Throne (iOS),2.65
256,50,android,KOF 올스타 - 글로벌,2.64
252,54,android,KOF 올스타 - 한국,3.36
187,59,android,Lineage2 Revolution WS - Android,5.97
188,60,ios,Lineage2 Revolution WS - iOS,6.01
267,63,android,MARVEL Future Revolution (Android),11.36
268,64,ios,MARVEL Future Revolution (iOS),15.18
35,66,android,MARVEL 퓨처파이트 for China(Tencent),2.11
245,82,ios,Rich Wars (iOS),2.78
39,85,android,Seven Knights for Global - android,3.6
217,124,ios,레볼루션 베트남,16.67
148,126,ios,레볼루션_아시아,5.64
147,127,android,레볼루션_아시아,6.16
145,128,android,레볼루션_일본_android,5.89
146,129,ios,레볼루션_일본_iOS,8.06
101,136,ios,리니지II:레볼루션,6.96
100,137,android,리니지II:레볼루션,2.98
78,155,android,몬스터길들이기 for Kakao - Android,3.05
297,167,android,블레이드앤소울 아시아 - Android,6.33
298,168,ios,블레이드앤소울 아시아 - iOS,4.13
280,171,android,블레이드앤소울 일본 - Android,2.51
281,172,ios,블레이드앤소울 일본 - iOS,4.11
250,173,android,블레이드앤소울 한국 - Android,2.89
251,174,ios,블레이드앤소울 한국 - iOS,3.88
